code,title,credits,department,instructorId,semester,classroomNo
CYB100,Advanced Thermodynamics,4,Cyber Security,1148,FALL,CR162
ME101,Programming in Organic Chemistry,2,Mechanical Engineering,1127,FALL,CR955
CHEM102,Principles of Quantum Physics,2,Chemistry,1249,SPRING,CR761
STAT103,Principles of Quantum Physics,4,Statistics,1035,SUMMER,CR735
ENG104,Fundamentals of Quantum Physics,5,English,1097,FALL,CR928
MATH105,Advanced Psychology,4,Mathematics,1200,SPRING,CR004
ENG106,Principles of Quantum Physics,3,English,1246,WINTER,CR565
ECE107,Programming in Algorithms,2,Electronics,1218,SPRING,CR968
BIO108,Programming in Artificial Intelligence,4,Biology,1299,SUMMER,CR441
BIO109,Introduction to Organic Chemistry,4,Biology,1188,SPRING,CR921
CYB110,Fundamentals of Thermodynamics,2,Cyber Security,1145,FALL,CR799
STAT111,Concepts of IoT,3,Statistics,1170,SUMMER,CR886
ECON112,Principles of Psychology,2,Economics,1176,SUMMER,CR755
ENG113,Concepts of Thermodynamics,4,English,1099,SUMMER,CR807
CHEM114,Concepts of Artificial Intelligence,5,Chemistry,1025,SUMMER,CR205
ME115,Modern Organic Chemistry,3,Mechanical Engineering,1252,SUMMER,CR025
HIST116,Concepts of Microeconomics,4,History,1251,SPRING,CR991
POLI117,Modern Cyber Security,5,Political Science,1011,FALL,CR962
CS118,Advanced Quantum Physics,3,Computer Science,1144,FALL,CR040
CHEM119,Data Structures in Psychology,4,Chemistry,1261,FALL,CR447
PSY120,Advanced Ethics,3,Psychology,1154,FALL,CR046
ECE121,Introduction to Cyber Security,3,Electronics,1163,FALL,CR442
PHY122,Machine Learning with Microeconomics,4,Physics,1033,SPRING,CR738
SOC123,Programming in Organic Chemistry,5,Sociology,1123,FALL,CR413
SOC124,Programming in Operating Systems,3,Sociology,1130,WINTER,CR681
DS125,Machine Learning with Statistics,4,Data Science,1136,WINTER,CR562
CS126,Applied Organic Chemistry,3,Computer Science,1138,WINTER,CR805
ENG127,Theory of Digital Forensics,5,English,1184,SUMMER,CR524
CE128,Analytics using Statistics,2,Civil Engineering,1121,FALL,CR528
ENG129,Advanced Thermodynamics,4,English,1263,SUMMER,CR826
HIST130,Principles of Algorithms,2,History,1141,SUMMER,CR487
PHY131,Theory of Psychology,3,Physics,1110,WINTER,CR507
DS132,Fundamentals of Operating Systems,2,Data Science,1034,SPRING,CR798
ECE133,Fundamentals of Statistics,5,Electronics,1245,SPRING,CR571
PHIL134,Advanced Digital Forensics,3,Philosophy,1232,WINTER,CR684
PSY135,Programming in IoT,4,Psychology,1033,WINTER,CR628
PSY136,Concepts of Software Engineering,5,Psychology,1177,SUMMER,CR762
CE137,Theory of Quantum Physics,3,Civil Engineering,1012,FALL,CR785
PSY138,Theory of Thermodynamics,4,Psychology,1035,WINTER,CR080
SOC139,Fundamentals of Quantum Physics,4,Sociology,1035,FALL,CR915
STAT140,Advanced Operating Systems,3,Statistics,1261,SUMMER,CR393
BIO141,Analytics using Linear Algebra,2,Biology,1281,WINTER,CR418
ENG142,Programming in Digital Forensics,5,English,1080,SPRING,CR212
ECE143,Concepts of Data Mining,2,Electronics,1255,WINTER,CR489
CS144,Modern Organic Chemistry,5,Computer Science,1152,WINTER,CR552
STAT145,Data Structures in Thermodynamics,5,Statistics,1173,SUMMER,CR280
ECE146,Theory of Algorithms,5,Electronics,1268,FALL,CR685
DS147,Analytics using Statistics,5,Data Science,1172,SUMMER,CR638
STAT148,Introduction to Ethics,2,Statistics,1029,SPRING,CR659
ECE149,Principles of Digital Forensics,3,Electronics,1136,SPRING,CR267
DS150,Modern Linear Algebra,5,Data Science,1085,FALL,CR346
DS151,Applied Psychology,4,Data Science,1203,SPRING,CR482
CS152,Analytics using Software Engineering,2,Computer Science,1256,FALL,CR230
PHY153,Machine Learning with Artificial Intelligence,2,Physics,1092,SUMMER,CR205
CS154,Data Structures in Operating Systems,3,Computer Science,1256,SUMMER,CR485
CHEM155,Data Structures in Linear Algebra,5,Chemistry,1159,FALL,CR786
CYB156,Principles of IoT,2,Cyber Security,1186,SUMMER,CR988
SOC157,Advanced Data Mining,2,Sociology,1208,FALL,CR590
DS158,Concepts of Linear Algebra,2,Data Science,1264,SUMMER,CR105
SOC159,Machine Learning with IoT,2,Sociology,1155,SPRING,CR356
STAT160,Concepts of Macroeconomics,2,Statistics,1024,FALL,CR013
ECE161,Theory of Networks,5,Electronics,1267,FALL,CR651
ME162,Analytics using Operating Systems,5,Mechanical Engineering,1173,SUMMER,CR752
PSY163,Machine Learning with Quantum Physics,5,Psychology,1019,WINTER,CR447
POLI164,Modern Thermodynamics,2,Political Science,1058,FALL,CR903
ME165,Fundamentals of Digital Forensics,5,Mechanical Engineering,1232,FALL,CR030
CE166,Modern Statistics,5,Civil Engineering,1242,SUMMER,CR364
POLI167,Modern Quantum Physics,4,Political Science,1183,SPRING,CR530
HIST168,Advanced Thermodynamics,5,History,1224,WINTER,CR569
PHIL169,Analytics using Cloud Computing,5,Philosophy,1276,WINTER,CR812
CS170,Advanced Organic Chemistry,3,Computer Science,1059,WINTER,CR709
PHIL171,Applied Data Mining,4,Philosophy,1013,WINTER,CR567
PSY172,Modern Psychology,4,Psychology,1291,FALL,CR720
ME173,Applied Organic Chemistry,4,Mechanical Engineering,1041,SUMMER,CR124
HIST174,Modern Networks,3,History,1176,SUMMER,CR222
CE175,Applied Data Mining,4,Civil Engineering,1274,SPRING,CR853
HIST176,Applied Thermodynamics,4,History,1017,SUMMER,CR310
CS177,Analytics using Software Engineering,3,Computer Science,1017,FALL,CR047
MATH178,Programming in Organic Chemistry,3,Mathematics,1216,WINTER,CR106
CS179,Data Structures in Organic Chemistry,5,Computer Science,1043,WINTER,CR452
ENG180,Principles of Artificial Intelligence,4,English,1167,WINTER,CR117
PHY181,Concepts of Cloud Computing,2,Physics,1088,SPRING,CR156
BIO182,Data Structures in Organic Chemistry,2,Biology,1065,SUMMER,CR122
STAT183,Concepts of IoT,3,Statistics,1002,WINTER,CR462
ME184,Applied Data Mining,5,Mechanical Engineering,1228,FALL,CR583
MATH185,Data Structures in Networks,3,Mathematics,1069,SUMMER,CR271
PHY186,Principles of Thermodynamics,3,Physics,1055,SPRING,CR161
CS187,Concepts of Digital Forensics,5,Computer Science,1268,FALL,CR034
PHIL188,Applied Organic Chemistry,5,Philosophy,1119,SPRING,CR704
PHIL189,Applied Data Mining,3,Philosophy,1187,WINTER,CR118
STAT190,Fundamentals of Operating Systems,4,Statistics,1039,SUMMER,CR074
MATH191,Principles of Organic Chemistry,4,Mathematics,1293,WINTER,CR128
ME192,Analytics using Organic Chemistry,5,Mechanical Engineering,1116,FALL,CR513
STAT193,Theory of Digital Forensics,2,Statistics,1109,SPRING,CR911
ECE194,Analytics using Microeconomics,4,Electronics,1050,SPRING,CR094
PHIL195,Machine Learning with Data Mining,2,Philosophy,1080,FALL,CR591
MATH196,Principles of Cloud Computing,5,Mathematics,1291,FALL,CR186
ECE197,Machine Learning with Cloud Computing,2,Electronics,1248,WINTER,CR357
ECE198,Modern Microeconomics,2,Electronics,1270,SUMMER,CR338
ECE199,Analytics using Cloud Computing,4,Electronics,1253,WINTER,CR834
STAT200,Introduction to Digital Forensics,2,Statistics,1073,FALL,CR259
ENG201,Advanced Ethics,2,English,1081,WINTER,CR424
MATH202,Fundamentals of Cyber Security,4,Mathematics,1271,WINTER,CR641
ME203,Introduction to Linear Algebra,4,Mechanical Engineering,1006,SUMMER,CR950
SOC204,Theory of Cloud Computing,2,Sociology,1061,SPRING,CR997
PHIL205,Analytics using Statistics,4,Philosophy,1228,SPRING,CR566
