studentRegNo,courseCode,grade
S10111,CS118,D
S14313,CS152,B
S13972,ECE121,A
S12469,ECON112,A
S12025,POLI117,B
S11012,POLI516,C
S13282,POLI167,D
S12211,SOC541,A
S10605,POLI358,C
S13402,CYB110,A
S14437,STAT409,F
S10782,BIO476,C
S13204,ECE199,D
S12557,PHY501,B
S14197,CHEM480,A
S12245,ECE334,A
S12164,ECON596,C
S13861,SOC292,B
S10762,ENG213,F
S14595,PHIL242,B
S14368,CE359,A
S10141,ME354,C
S13053,ECON490,B
S10887,ECE331,A
S10203,ENG303,C
S13662,CHEM289,B
S10892,SOC429,B
S11177,ME514,C
S10685,STAT148,C
S11701,MATH542,F
S14861,CS227,A
S13302,BIO415,D
S14287,ECE470,D
S11904,HIST130,C
S12064,BIO310,B
S12767,MATH527,A
S12633,ENG452,C
S13330,STAT546,A
S11713,CHEM486,C
S14003,ENG379,B
S11931,CHEM264,B
S13956,HIST363,C
S10667,BIO571,A
S10634,SOC292,A
S10111,BIO182,B
S10995,MATH185,A
S10931,CHEM119,D
S14056,CS187,C
S14297,ECE349,A
S14481,ENG314,B
S12430,STAT160,B
S12410,ENG468,F
S12220,ENG367,B
S13044,CS388,C
S11159,POLI248,B
S11674,ECON511,C
S13041,PHY365,C
S13867,CE336,A
S12704,ECON574,C
S11108,ME184,B
S13881,MATH105,B
S11468,HIST176,B
S10045,PSY259,C
S11632,CE455,A
S13756,BIO269,A
S13839,DS404,A
S12870,CHEM425,C
S11851,DS276,C
S11578,POLI240,B
S13491,PHIL399,C
S13008,CE419,C
S12086,SOC387,B
S11659,SOC139,C
S10843,STAT474,A
S11460,MATH234,C
S11037,BIO508,B
S13137,BIO269,C
S14851,STAT409,B
S13878,CHEM207,A
S11899,PHY210,A
S11200,ME173,A
S10002,PHIL265,A
S10427,CS170,B
S13601,ME317,C
S12679,BIO254,B
S10960,ENG223,C
S13090,PHY496,B
S13886,POLI281,B
S14276,BIO262,B
S14959,CS531,A
S11360,POLI584,C
S12275,CHEM464,A
S13581,ME386,B
S12052,MATH450,A
S13566,PHY433,B
S10207,DS543,B
S13818,CYB494,C
S13474,STAT209,C
S11564,POLI295,B
S10087,STAT200,B
S14309,ECE199,A
S12542,PHY268,A
S13021,PHY568,B
S10106,MATH410,B
S12252,CYB428,B
S10359,ECE456,C
S12246,CHEM420,A
S14687,POLI521,A
S13856,POLI411,C
S14016,PHIL188,B
S14469,CHEM513,A
S13027,CHEM114,C
S11254,STAT461,C
S11078,ENG142,B
S10978,CE128,B
S10510,CS260,A
S14457,PHIL242,F
S11590,ENG435,C
S10136,CYB270,D
S12592,CYB559,C
S14807,PHIL469,F
S14229,ECE107,F
S13302,BIO313,D
S10503,ECE133,A
S14108,CE175,C
S10687,PHIL188,B
S12257,POLI411,A
S14140,PHY309,A
S10026,PSY259,B
S12872,STAT160,B
S14654,CHEM528,C
S14638,CHEM576,B
S10952,CS570,A
S10707,PHIL195,B
S10164,ECE492,A
S10085,CS211,C
S13771,BIO141,D
S12021,POLI257,D
S11565,CYB482,C
S11087,PHY258,A
S12351,MATH191,B
S14628,CHEM261,B
S11542,DS239,D
S11450,HIST251,B
S13601,BIO235,A
S12909,SOC396,B
S14284,SOC330,D
S11396,CS118,F
S14794,ENG297,A
S14658,CHEM207,F
S13554,PSY277,C
S12364,ECE206,B
S14126,CHEM382,D
S12203,ECE146,B
S11726,SOC232,A
S12136,HIST116,F
S14235,BIO437,C
S13892,PHIL171,B
S12645,ME290,C
S14820,STAT561,A
S10856,CHEM422,B
S10064,PHY181,B
S12741,CE272,C
S10820,PHIL195,F
S12509,STAT183,B
S11525,ECON485,A
S13739,BIO403,C
S13563,STAT474,B
S11995,SOC229,C
S14922,CE272,B
S13286,STAT253,A
S11919,ECON490,F
S14153,CHEM155,B
S12206,ENG588,C
S14858,CHEM114,A
S11363,CHEM572,B
S14889,ECE594,C
S14293,ENG201,F
S14652,DS484,A
S12729,PHY503,F
S10740,PHY258,C
S11158,BIO510,B
S13243,ME184,B
S11208,MATH202,D
S12468,POLI257,A
S11934,DS539,A
S10738,ECE470,A
S14549,ECE532,C
S10040,CHEM344,A
S10818,HIST341,B
S13228,STAT457,A
S13869,BIO442,B
S13796,STAT461,A
S10784,SOC298,A
S11093,ME304,C
S12319,PHIL519,C
S13478,CYB405,B
S10587,PSY277,B
S14804,ENG113,A
S14985,MATH191,C
S13023,CHEM285,B
S10013,STAT412,C
S13261,PHY568,A
S11884,CS170,B
S10362,POLI208,B
S10760,POLI273,B
S11473,ME317,A
S12548,SOC298,C
S13937,POLI117,B
S13454,MATH191,A
S14238,MATH527,A
S10676,PSY277,C
S10830,ENG435,D
S10100,BIO182,B
S14707,CE359,B
S13724,MATH105,B
S13290,ECE316,C
S12481,ME317,B
S10949,STAT409,D
S13688,PSY357,B
S13879,CHEM464,B
S14382,CHEM597,B
S11465,ME317,B
S13141,CS545,C
S11231,STAT103,B
S14834,SOC232,A
S13727,PHY322,A
S12307,PSY120,A
S14010,PSY335,B
S14909,MATH451,B
S13487,CE272,C
S10192,PHY377,B
S12402,CHEM282,B
S13659,CHEM266,B
S10291,CYB405,A
S10299,SOC372,C
S12036,PHIL189,A
S10774,POLI164,C
S14042,HIST320,D
S12829,CHEM597,B
S11999,CS570,D
S14288,PSY391,B
S10626,BIO267,B
S11202,POLI411,F
S10828,POLI295,B
S10645,CE272,F
S12473,ECE316,B
S11506,DS586,C
S10649,CHEM528,F
S10953,ECE506,A
S12137,STAT255,C
S14416,PHY537,C
S10400,CHEM291,C
S11762,HIST489,F
S12251,CYB482,C
S11521,POLI241,B
S10374,STAT409,B
S11484,POLI447,B
S10041,BIO308,A
S13394,CE436,A
S12187,CE336,C
S12606,ECE149,A
S10148,ENG463,B
S10522,PHIL413,B
S14991,CE523,B
S13446,CHEM425,C
S14435,PHY299,B
S14568,ENG106,B
S12618,PSY277,D
S11243,CE336,D
S14087,CHEM207,B
S11392,ECON444,B
S13300,HIST116,C
S14680,PHY595,A
S13985,SOC387,F
S10680,ECE206,C
S14338,CHEM289,B
S12583,ECE331,C
S10242,CS179,C
S11365,CE419,B
S13535,HIST312,F
S10191,DS484,F
S14558,CHEM480,B
S11922,SOC292,F
S11078,ECON293,C
S11011,ECE149,B
S11731,CYB156,C
S11463,MATH542,A
S13285,ME381,B
S11783,ENG314,F
S12284,PSY263,C
S10865,CYB440,D
S12603,PSY357,B
S13212,BIO215,D
S14053,CE487,B
S13681,ENG180,F
S11455,ME304,B
S14363,BIO524,B
S13801,ENG435,A
S10805,CE296,C
S13425,CS598,B
S11547,CHEM425,A
S11836,CS170,C
S14123,BIO141,C
S13348,POLI584,A
S14995,CS227,A
S13865,MATH450,A
S13033,STAT111,C
S13189,CHEM382,B
S11581,ENG535,F
S13750,ENG288,C
S11960,PHIL189,B
S11636,PHIL265,A
S10530,BIO557,A
S14731,CE336,B
S14941,SOC327,F
S11448,CS598,B
S10910,ECON511,C
S12713,STAT546,F
S11304,ECON225,B
S10572,STAT103,C
S13328,DS543,B
S13851,SOC541,B
S13416,ECE590,B
S14401,ECE161,C
S14972,BIO431,F
S10194,CS324,B
S10489,PHIL249,D
S10326,DS286,B
S14190,CHEM422,C
S13510,PHY503,A
S11195,PHY533,B
S14749,ECON485,C
S11384,MATH287,B
S12783,PSY172,F
S13953,CHEM207,B
S12703,CYB428,C
S13753,PHY560,C
S12004,CE487,B
S12419,ENG452,B
S13689,BIO458,B
S12255,DS404,A
S11147,CE175,B
S10212,ENG213,D
S14616,CHEM285,C
S12512,ECON583,C
S14650,DS424,B
S13603,ECON444,B
