studentRegNo,courseCode,grade,semester,enrollmentYear
S10000,ME536,A,FALL,2024
S10000,PHIL365,D,SUMMER,2024
S10000,ME577,B,FALL,2025
S10000,SOC412,C,WINTER,2024
S10000,PHIL356,F,SPRING,2026
S10000,HIST259,A,FALL,2025
S10000,ECE304,B,WINTER,2026
S10000,DS416,D,FALL,2025
S10000,MATH129,C,FALL,2024
S10000,ECON379,C,SPRING,2026
S10000,CHEM457,D,SUMMER,2022
S10000,SOC556,D,SPRING,2026
S10000,DS156,B,SUMMER,2026
S10000,PHY398,A,SPRING,2022
S10000,ECE341,B,WINTER,2026
S10000,ECON579,C,FALL,2026
S10000,CYB569,F,SUMMER,2025
S10000,POLI234,D,FALL,2022
S10000,BIO434,B,SUMMER,2022
S10000,PSY115,A,WINTER,2023
S10000,ECON116,C,SUMMER,2026
S10000,BIO273,A,WINTER,2022
S10000,DS315,B,WINTER,2024
S10000,ECON233,A,FALL,2025
S10000,CHEM202,B,SPRING,2025
S10000,HIST271,B,SUMMER,2026
S10000,PSY554,C,SUMMER,2025
S10000,ME491,D,WINTER,2022
S10000,ECE130,A,SPRING,2023
S10000,DS171,F,FALL,2022
S10001,MATH113,C,FALL,2022
S10001,ECON496,F,FALL,2026
S10001,STAT500,B,SUMMER,2022
S10001,CE515,B,SUMMER,2025
S10001,CE200,F,SUMMER,2022
S10001,ECON373,A,FALL,2022
S10001,CS411,A,FALL,2025
S10001,POLI540,A,SPRING,2025
S10001,STAT294,B,SUMMER,2023
S10001,CYB449,C,SPRING,2026
S10001,BIO450,D,WINTER,2023
S10001,MATH477,B,FALL,2025
S10001,CS109,A,SPRING,2022
S10001,CE382,D,SPRING,2024
S10001,HIST346,D,SPRING,2024
S10001,HIST126,A,SUMMER,2024
S10001,SOC298,A,WINTER,2024
S10001,ENG492,A,WINTER,2023
S10001,MATH293,B,SUMMER,2025
S10001,ME456,B,SUMMER,2022
S10001,CE164,B,WINTER,2024
S10001,BIO320,C,SPRING,2025
S10001,MATH459,D,WINTER,2022
S10001,PHY318,F,WINTER,2026
S10001,CE381,A,WINTER,2024
S10001,PHIL170,B,SUMMER,2026
S10001,ENG159,C,FALL,2022
S10001,PSY324,C,WINTER,2023
S10001,ME160,A,WINTER,2024
S10001,PHIL559,F,WINTER,2026
S10002,CHEM205,B,SUMMER,2023
S10002,SOC353,B,WINTER,2024
S10002,ECON461,F,WINTER,2026
S10002,CYB476,B,WINTER,2026
S10002,POLI516,A,SUMMER,2026
S10002,SOC282,F,SPRING,2023
S10002,PHIL559,D,WINTER,2022
S10002,CE568,B,SUMMER,2022
S10002,BIO539,B,FALL,2026
S10002,PSY212,C,SPRING,2025
S10002,CHEM327,A,FALL,2026
S10002,ENG465,C,WINTER,2026
S10002,CHEM254,C,SPRING,2024
S10002,CHEM582,A,WINTER,2022
S10002,STAT287,A,WINTER,2023
S10002,PSY499,B,WINTER,2022
S10002,CE382,C,SPRING,2023
S10002,CE249,F,SUMMER,2023
S10002,ECE544,A,WINTER,2024
S10002,BIO434,D,FALL,2023
S10002,DS225,B,FALL,2022
S10002,ENG369,C,FALL,2022
S10002,CHEM557,B,SUMMER,2022
S10002,PHY236,F,FALL,2023
S10002,ENG263,A,SUMMER,2023
S10002,CHEM457,D,FALL,2024
S10002,CS377,B,SUMMER,2024
S10002,PSY357,A,SPRING,2024
S10002,CYB153,B,SPRING,2025
S10002,DS127,B,FALL,2024
S10003,SOC214,A,SPRING,2025
S10003,CHEM205,C,SUMMER,2024
S10003,STAT294,C,SUMMER,2025
S10003,CHEM194,D,SUMMER,2023
S10003,STAT437,C,FALL,2026
S10003,BIO320,F,SPRING,2026
S10003,PHY372,C,WINTER,2025
S10003,HIST126,D,WINTER,2023
S10003,POLI438,C,FALL,2025
